Date,Time,BO,BH,BL,BC,BCh,AO,AH,AL
2024-11-05,06:30:37,1.08773,1.08775,1.08764,1.08764,-9.000000000014552e-05,1.08784,1.08786,1.08774
2024-11-05,06:40:09,1.08758,1.08758,1.08751,1.08751,-7.00000000000145e-05,1.08771,1.08771,1.08763
2024-11-05,06:50:41,1.08745,1.08748,1.08739,1.0874,-5.0000000000105516e-05,1.08757,1.0876,1.0875
2024-11-05,07:00:13,1.08738,1.08738,1.08731,1.08733,-5.0000000000105516e-05,1.0875,1.0875,1.08741
2024-11-05,07:10:49,1.08731,1.08736,1.08726,1.08732,1.0000000000065512e-05,1.08743,1.08746,1.08736
2024-11-05,07:20:16,1.08734,1.0875,1.08734,1.08746,0.00012000000000012001,1.08745,1.0876,1.08745
2024-11-05,07:30:46,1.08749,1.08749,1.0874,1.08742,-7.00000000000145e-05,1.08761,1.08761,1.0875
2024-11-05,07:40:19,1.08741,1.08741,1.08726,1.08738,-2.999999999997449e-05,1.08751,1.08752,1.08738
2024-11-05,07:50:53,1.08736,1.08747,1.08736,1.08747,0.00010999999999983245,1.08749,1.08758,1.08749
2024-11-05,08:00:24,1.08749,1.08757,1.08747,1.08752,2.999999999997449e-05,1.0876,1.0877,1.08757
2024-11-05,08:10:07,1.08744,1.08751,1.08731,1.08734,-9.999999999998899e-05,1.08756,1.08761,1.08741
2024-11-05,08:20:54,1.08724,1.0873,1.08724,1.08729,5.0000000000105516e-05,1.08737,1.08741,1.08736
2024-11-05,08:30:22,1.08729,1.08736,1.08726,1.08731,1.999999999990898e-05,1.08741,1.08746,1.08736
2024-11-05,08:40:10,1.0873,1.08744,1.08729,1.08744,0.000140000000000029,1.08741,1.08755,1.08741
2024-11-05,08:49:59,1.08752,1.08775,1.08752,1.08773,0.00021000000000004349,1.08764,1.08788,1.08764
2024-11-05,09:00:44,1.0877,1.08775,1.08763,1.08775,5.0000000000105516e-05,1.0878,1.08785,1.08774
2024-11-05,09:10:14,1.08768,1.08775,1.08762,1.0877,1.999999999990898e-05,1.0878,1.08788,1.08775
2024-11-05,09:20:52,1.08779,1.08786,1.08777,1.08782,2.999999999997449e-05,1.08792,1.08797,1.08789
2024-11-05,09:30:27,1.08771,1.08783,1.0877,1.08783,0.00012000000000012001,1.08783,1.08794,1.08781
2024-11-05,09:40:03,1.08784,1.08793,1.08784,1.08785,1.0000000000065512e-05,1.08796,1.08803,1.08795
2024-11-05,09:50:41,1.08779,1.0878,1.08752,1.08769,-9.999999999998899e-05,1.0879,1.0879,1.08763
2024-11-05,10:00:33,1.08768,1.08771,1.08764,1.0877,1.999999999990898e-05,1.0878,1.08781,1.08774
2024-11-05,10:10:09,1.08774,1.08774,1.08769,1.08772,-1.999999999990898e-05,1.08784,1.08785,1.0878
2024-11-05,10:20:42,1.08768,1.0878,1.08765,1.0878,0.00012000000000012001,1.08782,1.08791,1.08776
2024-11-05,10:30:10,1.0878,1.08784,1.08776,1.08778,-2.0000000000131024e-05,1.08791,1.08794,1.08787
2024-11-05,10:40:42,1.08786,1.08786,1.08768,1.08774,-0.00012000000000012001,1.08797,1.08797,1.08779
2024-11-05,10:50:12,1.08771,1.08771,1.08764,1.08768,-2.999999999997449e-05,1.08781,1.08781,1.08775
