Date,Time,BO,BH,BL,BC,BCh,AO,AH,AL
2024-11-07,15:05:03,1.07509,1.07693,1.07491,1.07491,-0.000180000000000069,1.07523,1.07705,1.07505
2024-11-07,16:04:17,1.07505,1.07699,1.07505,1.07639,0.0013399999999998968,1.07517,1.07711,1.07517
2024-11-07,16:23:40,1.07638,1.07654,1.07562,1.07597,-0.0004099999999997994,1.0765,1.07666,1.07577
2024-11-08,11:19:08,1.07825,1.07851,1.07762,1.07819,-5.999999999994898e-05,1.07835,1.07863,1.07773
2024-11-08,12:32:38,1.07793,1.07856,1.07793,1.07844,0.0005100000000000104,1.07805,1.0787,1.07804
2024-11-08,13:32:03,1.07844,1.07844,1.0773,1.07766,-0.0007800000000000029,1.07854,1.07854,1.07742
2024-11-08,14:32:02,1.07768,1.07816,1.07733,1.07753,-0.00014999999999987246,1.07781,1.0783,1.07744
2024-11-08,15:32:13,1.07765,1.07818,1.07618,1.07785,0.00019999999999997797,1.07778,1.0783,1.07635
2024-11-08,16:32:49,1.07785,1.07883,1.07743,1.07835,0.0004999999999999449,1.07801,1.07897,1.07758
2024-11-08,17:33:00,1.07836,1.07843,1.07697,1.07731,-0.0010499999999999954,1.07851,1.07857,1.07709
2024-11-08,18:32:41,1.07707,1.0795,1.07672,1.07918,0.0021100000000000563,1.07721,1.07961,1.07684
