Date,Time,BO,BH,BL,BC,BCh,AO,AH,AL
2024-11-07,14:34:26,1.07509,1.07693,1.07509,1.07627,0.0011799999999999589,1.07523,1.07705,1.07523
2024-11-07,15:05:03,1.07615,1.07615,1.07491,1.07491,-0.0012399999999999078,1.07629,1.07629,1.07505
2024-11-07,15:34:48,1.07505,1.07699,1.07505,1.07621,0.0011600000000000499,1.07517,1.07711,1.07517
2024-11-07,16:04:17,1.07642,1.07692,1.0757,1.07639,-2.999999999997449e-05,1.07656,1.07704,1.07586
2024-11-07,16:23:40,1.07638,1.07654,1.07562,1.07597,-0.0004099999999997994,1.0765,1.07666,1.07577
2024-11-08,11:01:59,1.07825,1.07851,1.07765,1.07771,-0.0005399999999999849,1.07835,1.07863,1.07777
2024-11-08,11:19:08,1.07771,1.07833,1.07762,1.07819,0.00048000000000003595,1.07787,1.07843,1.07773
2024-11-08,12:02:58,1.07793,1.07829,1.07793,1.07822,0.00028999999999990145,1.07805,1.07839,1.07804
2024-11-08,12:32:38,1.07822,1.07856,1.07817,1.07844,0.000220000000000109,1.07837,1.0787,1.07829
2024-11-08,13:02:34,1.07844,1.07844,1.07799,1.07826,-0.000180000000000069,1.07854,1.07854,1.07812
2024-11-08,13:32:03,1.07827,1.07827,1.0773,1.07766,-0.0006099999999999994,1.07838,1.07841,1.07742
2024-11-08,14:02:27,1.07768,1.07795,1.07733,1.07795,0.00026999999999999247,1.07781,1.07808,1.07744
2024-11-08,14:33:05,1.07768,1.07816,1.07751,1.07765,-2.999999999997449e-05,1.07781,1.0783,1.07763
2024-11-08,15:02:24,1.07756,1.07818,1.07756,1.07776,0.00019999999999997797,1.0777,1.0783,1.0777
2024-11-08,15:32:13,1.07694,1.07809,1.07618,1.07785,0.0009099999999999664,1.07711,1.07823,1.07635
2024-11-08,16:03:05,1.07785,1.07815,1.07743,1.07809,0.00024000000000001798,1.07801,1.07828,1.07758
2024-11-08,16:32:49,1.07822,1.07883,1.07772,1.07835,0.00012999999999996348,1.07837,1.07897,1.07783
2024-11-08,17:02:35,1.07836,1.07843,1.0772,1.0776,-0.0007600000000000939,1.07851,1.07857,1.07736
2024-11-08,17:33:00,1.0776,1.0779,1.07697,1.07731,-0.00028999999999990145,1.07773,1.07801,1.07709
2024-11-08,18:02:27,1.07707,1.07809,1.07672,1.07809,0.0010200000000000209,1.07721,1.07822,1.07684
2024-11-08,18:32:41,1.07806,1.0795,1.07802,1.07918,0.0011200000000000099,1.07817,1.07961,1.07817
